method,path,controller,action
GET,/thank-you,front.'/Home,thank_you'
GET,/export-report,admin.'/Export,export_report'
GET,/Api-Login,api.',login'
GET,/Api-Logout,api.',logout'
GET,/Api-Country-List,api.',getCountryList'
GET,/Api-State-List,api.',getStateList'
GET,/Api-City-List,api.',getCityList'
GET,/Api-Interests-List,api.',getInterestsList'
GET,/Api-Employment-Type-List,api.',getEmploymentTypeList'
GET,/Api-Job-Type-List,api.',getJobTypeList'
GET,/Api-Pay-List,api.',getPayList'
GET,/Api-Event-Mode-List,api.',getEventModeList'
GET,/Api-Event-Type-List,api.',getEventTypeList'
GET,/Api-Fund-Size-List,api.',getFundSizeList'
GET,/Api-Update-Profile,api.',updateProfile'
GET,/Api-View-Profile,api.',getProfile'
GET,/Api-View-User-Detail-By-Mobile,api.',getUserDetailByMobile'
GET,/Api-View-User-Detail-By-Qrcode,api.',getUserDetailByQrCode'
GET,/Api-View-Profile-By-Mobile,api.',getUserProfileByMobile'
GET,/Api-Save-Education-Details,api.',saveEducationDetails'
GET,/Api-View-Education-Details,api.',getEducationDetails'
GET,/Api-Delete-Education-Detail,api.',deleteEducationDetail'
GET,/Api-Save-Project-Details,api.',saveProjectDetails'
GET,/Api-View-Project-Details,api.',getProjectDetails'
GET,/Api-Delete-Project-Detail,api.',deleteProjectDetail'
GET,/Api-Save-Work-Details,api.',saveWorkDetails'
GET,/Api-View-Work-Details,api.',getWorkDetails'
GET,/Api-Delete-Work-Detail,api.',deleteWorkDetail'
GET,/Api-Dashboard,api.',dashboard'
GET,/Api-Save-Job-Information,api.',saveJobInformation'
GET,/Api-View-Job-Information,api.',getJobInformation'
GET,/Api-Apply-Job,api.',saveJobApplication'
GET,/Api-View-Job-Details,api.',getJobDetail'
GET,/Api-Job-Applicants-List,api.',getJobApplicantsList'
GET,/Api-View-Resumes,api.',getResumes'
GET,/Api-Delete-Resume,api.',deleteResume'
GET,/Api-Send-Otp,api.',sendOtp'
GET,/Api-Verify-Otp,api.',verifyOtp'
GET,/Api-Save-Event-Information,api.',saveEventInformation'
GET,/Api-View-Event-Information,api.',getEventInformation'
GET,/Api-View-Event-Details,api.',getEventDetail'
GET,/Api-Event-Organisers-List,api.',getEventOrganisersList'
GET,/Api-Save-Event-Organiser,api.',saveEventOrganiser'
GET,/Api-Delete-Event-Organiser,api.',deleteEventOrganiser'
GET,/Api-Event-Attendees-List,api.',getEventAttendeesList'
GET,/Api-Save-Event-Attendee,api.',saveEventAttendee'
GET,/Api-Delete-Event-Attendee,api.',deleteEventAttendee'
GET,/Api-View-Events-Attended,api.',getEventsAttendedList'
GET,/Api-View-Events-Organised,api.',getEventsOrganisedList'
GET,/Api-Folders-List-By-Type,api.',getFoldersListByType'
GET,/Api-Add-Folder-By-Type,api.',saveFolderByType'
GET,/Api-Sub-Folders-List,api.',getSubFoldersList'
GET,/Api-Add-Sub-Folder,api.',saveSubFolder'
GET,/Api-Edit-Sub-Folder,api.',editSubFolder'
GET,/Api-Delete-Sub-Folder,api.',deleteSubFolder'
GET,/Api-Add-Contact,api.',saveContact'
GET,/Api-Contacts-List,api.',getContactsList'
GET,/Api-Add-Contact-Visiting-Card,api.',saveContactVisitingCard'
GET,/Api-View-Contact-Visiting-Card,api.',getContactVisitingCardInformation'
GET,/Api-Legal-Terms,api.',legalTerms'
GET,/Api-Activate-Card,api.',activateCard'
GET,/Api-View-Business-Card,api.',getBusinessCardInformation'
GET,/Api-Promotions-List,api.',getPromotionsList'
GET,/Api-Service-Master-List,api.',getServicesMasterList'
GET,/Api-Save-Service-Provider,api.',saveServiceProvider'
GET,/Api-Services-List,api.',getServicesList'
GET,/Api-Save-Service-Details,api.',saveServiceDetails'
GET,/Api-View-Service-Details,api.',getServiceDetail'
GET,/Api-All-Services-List,api.',getAllServicesList'
GET,/Api-Service-Unlock,api.',serviceUnlock'
GET,/Api-All-Service-Unlock-List,api.',getAllServiceUnlockList'
GET,/Api-Add-Review-Rating,api.',saveReviewRating'
GET,/Api-Save-Investor,api.',saveInvestor'
GET,/Api-All-Investors-List,api.',getAllInvestorsList'
GET,/Api-View-Investor-Details,api.',getInvestorDetail'
GET,/Api-Investor-Unlock,api.',investorUnlock'
GET,/Api-Add-Investor-Review-Rating,api.',saveInvestorReviewRating'
GET,/Api-My-Investor-Profile,api.',getInvestorProfile'
GET,/Api-My-Investor-Meets,api.',getInvestorMeets'
GET,/Api-Investor-Desk,api.',getInvestorDesk'
GET,/Api-Chat-Users-List,api.',getChatUsersList'
GET,/Api-Save-Chat,api.',saveChat'
GET,/Api-View-Chat,api.',getChat'
